index,subject,image
101,https://resource.swissartresearch.net/artwork/SFF_D_1070,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1070
102,https://resource.swissartresearch.net/artwork/SFF_D_1071,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1071
103,https://resource.swissartresearch.net/artwork/SFF_D_1072,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1072
104,https://resource.swissartresearch.net/artwork/SFF_D_1073,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1073_b
105,https://resource.swissartresearch.net/artwork/SFF_D_1074,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1074
106,https://resource.swissartresearch.net/artwork/SFF_D_1075,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1075
107,https://resource.swissartresearch.net/artwork/SFF_D_1076,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1076_b
108,https://resource.swissartresearch.net/artwork/SFF_D_1077,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1077
109,https://resource.swissartresearch.net/artwork/SFF_D_1078,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1078
110,https://resource.swissartresearch.net/artwork/SFF_D_1079,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1079
111,https://resource.swissartresearch.net/artwork/SFF_D_1080,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1080
112,https://resource.swissartresearch.net/artwork/SFF_D_1081,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1081
113,https://resource.swissartresearch.net/artwork/SFF_D_1082,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1082
114,https://resource.swissartresearch.net/artwork/SFF_D_1083,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1083
115,https://resource.swissartresearch.net/artwork/SFF_D_1084,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1084
116,https://resource.swissartresearch.net/artwork/SFF_D_1085,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1085
117,https://resource.swissartresearch.net/artwork/SFF_D_1086,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1086_b
118,https://resource.swissartresearch.net/artwork/SFF_D_1087,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1087
119,https://resource.swissartresearch.net/artwork/SFF_D_1088,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1088
120,https://resource.swissartresearch.net/artwork/SFF_D_1089,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1089
121,https://resource.swissartresearch.net/artwork/SFF_D_1090,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1090
122,https://resource.swissartresearch.net/artwork/SFF_D_1091,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1091
123,https://resource.swissartresearch.net/artwork/SFF_D_1092,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1092_b
124,https://resource.swissartresearch.net/artwork/SFF_D_1093,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1093
125,https://resource.swissartresearch.net/artwork/SFF_D_1094,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1094
126,https://resource.swissartresearch.net/artwork/SFF_D_1095,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1095
127,https://resource.swissartresearch.net/artwork/SFF_D_1096,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1096
128,https://resource.swissartresearch.net/artwork/SFF_D_1097,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1097_b
129,https://resource.swissartresearch.net/artwork/SFF_D_1098,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1098_b
130,https://resource.swissartresearch.net/artwork/SFF_D_1099,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1099
131,https://resource.swissartresearch.net/artwork/SFF_D_1100,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1100
132,https://resource.swissartresearch.net/artwork/SFF_D_1101,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1101
133,https://resource.swissartresearch.net/artwork/SFF_D_1102,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1102
134,https://resource.swissartresearch.net/artwork/SFF_D_1103,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1103_b
135,https://resource.swissartresearch.net/artwork/SFF_D_1104,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1104
136,https://resource.swissartresearch.net/artwork/SFF_D_1105,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1105
137,https://resource.swissartresearch.net/artwork/SFF_D_1106,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1106
138,https://resource.swissartresearch.net/artwork/SFF_D_1107,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1107
139,https://resource.swissartresearch.net/artwork/SFF_D_1108,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1108
140,https://resource.swissartresearch.net/artwork/SFF_D_1109,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1109_b
141,https://resource.swissartresearch.net/artwork/SFF_D_1110,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1110_b
142,https://resource.swissartresearch.net/artwork/SFF_D_1111,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1111
143,https://resource.swissartresearch.net/artwork/SFF_D_1112,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1112_b
144,https://resource.swissartresearch.net/artwork/SFF_D_1113,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1113
145,https://resource.swissartresearch.net/artwork/SFF_D_1114,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1114
146,https://resource.swissartresearch.net/artwork/SFF_D_1115,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1115
147,https://resource.swissartresearch.net/artwork/SFF_D_1116,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1116
148,https://resource.swissartresearch.net/artwork/SFF_D_1117,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1117
149,https://resource.swissartresearch.net/artwork/SFF_D_1118,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1118
150,https://resource.swissartresearch.net/artwork/SFF_D_1119,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1119
151,https://resource.swissartresearch.net/artwork/SFF_D_1120,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1120
152,https://resource.swissartresearch.net/artwork/SFF_D_1121,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1121
153,https://resource.swissartresearch.net/artwork/SFF_D_1122,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1122
154,https://resource.swissartresearch.net/artwork/SFF_D_1123,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1123
155,https://resource.swissartresearch.net/artwork/SFF_D_1124,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1124
156,https://resource.swissartresearch.net/artwork/SFF_D_1125,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1125
157,https://resource.swissartresearch.net/artwork/SFF_D_1126,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1126
158,https://resource.swissartresearch.net/artwork/SFF_D_1127,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1127
159,https://resource.swissartresearch.net/artwork/SFF_D_1128,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1128
160,https://resource.swissartresearch.net/artwork/SFF_D_1129,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1129
161,https://resource.swissartresearch.net/artwork/SFF_D_1130,https://bso-iiif.swissartresearch.net/iiif/2/SFF_D_1130
